week,geo,impression_tiktok,impression_tv,impression_outdoor1,impression_google,impression_facebook,impression_outdoor2,impression_organic,market_share,cost_tiktok,cost_tv,cost_outdoor1,cost_google,cost_facebook,cost_outdoor2,conversions,revenue,population
2022-09-26,Geo32,3476039,445000,127000,3252620,1139182,,0,0.0429471290496116,25488.832000000,4291.206000000,940.844200000,25347.148000000,8876.405000000,1516.00202256215,10755219.000000000,215687.484953304,714763.800000000
2023-08-14,Geo32,860446,0,241000,1062571,2344162,,0,0.05103612032426167,6309.412600000,0E-9,1791.328400000,8280.446000000,18265.504000000,2908.878633825504,13050208.000000000,261557.880325440,714763.800000000
2022-12-05,Geo32,1450356,1939000,825000,3614570,2686700,,1470317,0.05740204331415016,10635.059000000,18695.930000000,6128.989300000,28167.768000000,20934.527000000,11793.419383739989,15355413.000000000,304788.487047264,714763.800000000
2022-04-25,Geo32,27673,966000,175000,2732118,1227403,,0,0.054535204845145194,202.918460000,9311.636000000,1301.898000000,21290.960000000,9563.816000000,2513.6718280744053,14082572.000000000,279390.229579104,714763.800000000
2022-10-17,Geo32,970165,328000,77000,2766230,2093533,,646971,0.06823169506523845,7113.951700000,3163.056600000,572.084530000,21556.790000000,16312.624000000,860.0055022818478,18968390.000000000,374973.279278360,714763.800000000
2021-07-05,Geo32,2163973,1278000,943000,3964932,2262373,,87015,0.03475255202169863,15867.815000000,12318.293000000,7008.721700000,30898.082000000,17628.210000000,12730.42639082525,9711254.000000000,193424.076347572,714763.800000000
2021-11-15,Geo32,1770904,1819000,727000,4830686,2387374,,230834,0.050231822406007015,12985.549000000,17537.266000000,5402.720700000,37644.766000000,18602.207000000,8226.335897826155,13753979.000000000,274869.350430985,714763.800000000
2022-09-05,Geo32,2198235,2297000,2295000,4036252,2258952,,2141111,0.061552929387802165,16119.049000000,22146.178000000,17056.453000000,31453.867000000,17601.555000000,30758.32715880417,16929102.000000000,336985.202453850,714763.800000000
2021-02-08,Geo32,311608,143000,221000,2455820,1167919,,0,0.0385823503817824,2284.935300000,1377.143900000,1642.583500000,19137.814000000,9100.322000000,3274.7706757118694,10082925.000000000,201715.771014000,714763.800000000
2021-09-13,Geo32,1850437,213000,712000,2428230,1631276,,0,0.0199018147274777,13568.742000000,2053.129200000,5292.765000000,18922.810000000,12710.758000000,10466.762062552205,5032814.500000000,100791.260019261,714763.800000000
2023-10-02,Geo32,0,1239000,438000,2153608,2015130,,538883,0.048115152591001804,0E-9,11947.607000000,3257.278800000,16782.725000000,15701.715000000,5143.503894474774,11504415.000000000,231088.482335685,714763.800000000
2022-08-01,Geo32,1227900,272000,8000,3303924,1162959,,129502,0.04381347073578611,9003.851000000,2622.550000000,60.316810000,25746.951000000,9061.674000000,115.60701840299657,11535720.000000000,231947.556932280,714763.800000000
2021-12-13,Geo32,1442304,0,244000,4187084,1768794,,1078060,0.05751155808709634,10576.016000000,0E-9,1813.814300000,32629.277000000,13782.286000000,2718.3171065259726,15151644.000000000,301024.241706564,714763.800000000
2023-08-07,Geo32,3081703,450000,161000,2753192,104160,,2517716,0.04781767686371837,22597.273000000,4335.189500000,1197.003000000,21455.186000000,811.605500000,2317.0323846612077,11817721.000000000,236469.359154446,714763.800000000
2022-11-21,Geo32,2472898,1368000,2142000,5200570,2102720,,1435349,0.034614909290890304,18133.076000000,13190.834000000,15917.501000000,40527.210000000,16384.207000000,33464.408866832666,10957512.000000000,220543.301373096,714763.800000000
2023-12-04,Geo32,1360470,793000,2600000,2749922,3083479,,0,0.05248744569663362,9975.950000000,7641.862000000,19320.322000000,21429.703000000,24026.195000000,34382.601433824246,16467106.000000000,328704.744195164,714763.800000000
2023-05-01,Geo32,491376,0,2000,1571170,1024237,,0,0.034332294922604006,3603.124300000,0E-9,18.257782000,12243.877000000,7980.764000000,35.831993309324,10088971.000000000,200557.171430263,714763.800000000
2021-11-22,Geo32,1657415,806000,604000,3260160,3048513,,1403013,0.05533668756253987,12153.365000000,7767.265600000,4489.534000000,25405.906000000,23753.744000000,7271.404124831548,17427204.000000000,347818.794623928,714763.800000000
2021-05-10,Geo32,78771,220000,16000,2530374,1576362,,1460174,0.05202620407903696,577.605960000,2118.757000000,121.659096000,19718.800000000,12282.873000000,225.90527149654127,12037243.000000000,240973.062052794,714763.800000000
2022-08-22,Geo32,629265,,944000,3187098,660501,,2286985,0.040264296244800823,4614.226000000,11086.356000000,7013.960400000,24836.547000000,5146.565400000,12637.063980627903,11088027.000000000,223056.120514815,714763.800000000
2022-06-13,Geo32,2810127,475000,1250000,2784394,1828885,,2175402,0.06005453685701703,20605.885000000,4575.439500000,9290.892000000,21698.338000000,14250.510000000,16437.01847933943,13790716.000000000,275006.735671040,714763.800000000
2022-10-10,Geo32,0,731000,330000,3433517,1572983,,1537206,0.05941990786224957,0E-9,7051.818400000,2448.972400000,26756.850000000,12256.544000000,5196.115176645257,16031592.000000000,321480.520417296,714763.800000000
2023-09-11,Geo32,2299339,1967000,798000,4402584,2377786,,3020649,0.06843403047856464,16860.416000000,18963.994000000,5929.350000000,34308.637000000,18527.498000000,9193.653249615027,20334388.000000000,407600.102986396,714763.800000000
2021-10-11,Geo32,2351659,1359000,846000,4884163,3297245,,2269630,0.04231286223956242,17244.064000000,13104.372000000,6287.899400000,38061.504000000,25691.842000000,12020.753909194545,13712630.000000000,274647.194640880,714763.800000000
2022-10-03,Geo32,204148,882000,582000,3602158,3208096,,1261504,0.05462002315852285,1496.960700000,8508.300000000,4323.156000000,28071.043000000,24997.200000000,8174.288626330883,17030568.000000000,341076.635117760,714763.800000000
2022-05-09,Geo32,321098,1252000,130000,1474894,1398262,,0,0.030701715505234435,2354.522700000,12066.435000000,968.264300000,11493.614000000,10895.134000000,1977.8810099825066,8428206.000000000,169225.725742794,714763.800000000
2023-11-20,Geo32,448545,2068000,1949000,2748516,732472,,1334004,0.052078652292873534,3289.056200000,19933.719000000,14485.837000000,21418.746000000,5707.357000000,22695.164642801832,13826383.000000000,277129.259750713,714763.800000000
2021-12-06,Geo32,1993485,,407000,1694043,2806082,,309450,0.05366710641342442,14617.674000000,2104.777300000,3026.452000000,13201.407000000,21864.742000000,4640.60783005324,14599298.000000000,292560.194188234,714763.800000000
2021-08-02,Geo32,210415,2430000,654000,2715775,2705131,,0,0.03819119556939587,1542.915000000,23425.531000000,4863.257300000,21163.602000000,21078.143000000,8562.314897436003,11781813.000000000,235278.045757548,714763.800000000
2022-05-02,Geo32,969861,0,1412000,3091806,1004906,,0,0.06335106820205118,7111.722000000,0E-9,10490.660000000,24093.950000000,7830.138700000,16784.82454319002,16686302.000000000,331341.083541442,714763.800000000
2021-01-25,Geo32,0,0,59000,2956786,2671735,,125622,0.03795105183338587,0E-9,0E-9,441.604980000,23041.762000000,20817.922000000,816.6682772461581,11409712.000000000,226914.081723312,714763.800000000
2021-05-17,Geo32,438331,1606000,1183000,2519746,888694,,0,0.03425943982338685,3214.159700000,15482.516000000,8793.979000000,19635.979000000,6924.625000000,18788.027287230787,9831956.000000000,196082.297003896,714763.800000000
2022-01-03,Geo32,1463644,324000,842000,2114346,2628628,,666547,0.03060020833047089,10732.496000000,3124.347200000,6260.212000000,16476.762000000,20482.037000000,11716.953099092661,9769647.000000000,196582.462909779,714763.800000000
2023-12-11,Geo32,3160026,0,321000,4351314,1460229,,2526380,0.053164438860013874,23171.596000000,0E-9,2382.956300000,33909.098000000,11377.975000000,4575.964228974862,12436202.000000000,251549.520221996,714763.800000000
2023-09-25,Geo32,1348358,0,525000,3863432,2148267,,412692,0.05304798280579524,9887.136000000,0E-9,3900.239500000,30107.110000000,16739.107000000,8179.6569279321975,15278214.000000000,307301.718496080,714763.800000000
2023-06-26,Geo32,849304,1301000,1612000,1608048,201692,,1912113,0.023010895417425188,6227.711000000,12539.482000000,11981.548000000,12531.262000000,1571.566300000,25243.906205616342,7287018.000000000,144550.375386564,714763.800000000
2021-06-07,Geo32,192943,0,659000,3222398,1099734,,46513,0.034586036604686315,1414.797600000,0E-9,4893.680000000,25111.635000000,8569.030000000,10260.340209284675,9204978.000000000,183527.654716860,714763.800000000
2023-09-04,Geo32,646541,1611000,674000,3765281,2269741,,1764092,0.041688868296019206,4740.906000000,15529.855000000,5008.859000000,29342.234000000,17685.621000000,9766.49053395892,11129118.000000000,223728.970769304,714763.800000000
2022-09-12,Geo32,1178231,1127000,1622000,3499437,1739757,,229775,0.03544095845450879,8639.642000000,10869.978000000,12050.009000000,27270.555000000,13556.033000000,24992.35292974523,11143991.000000000,222957.805649018,714763.800000000
2021-08-16,Geo32,519078,187000,412000,3611393,1660653,,178210,0.035228938148549487,3806.255400000,1800.297500000,3059.653600000,28143.010000000,12939.661000000,6356.327593832024,11240526.000000000,223755.180735438,714763.800000000
2023-11-27,Geo32,1560858,233000,1436000,2294822,2597617,,673712,0.06724874104859659,11445.340000000,2244.459500000,10670.124000000,17883.182000000,20240.402000000,17134.068483763058,18913898.000000000,377135.049885554,714763.800000000
2023-11-06,Geo32,512302,1528000,818000,2075041,1529037,,1389399,0.03655738579263428,3756.568800000,14731.763000000,6076.586400000,16170.464000000,11914.121000000,13078.780045934314,10255337.000000000,206496.256120804,714763.800000000
2023-04-10,Geo32,1789243,3364000,9000,3903160,2187393,,2150814,0.07143202104816908,13120.024000000,32429.498000000,64.574740000,30416.703000000,17043.973000000,136.76690251860586,16617000.000000000,332125.142190000,714763.800000000
2021-07-26,Geo32,936038,2059000,627000,3534996,1305869,,1451423,0.08687909287121968,6863.707500000,19852.424000000,4659.167500000,27547.660000000,10175.216000000,8439.341560469888,21218768.000000000,430375.688090112,714763.800000000
2023-07-31,Geo32,1536767,0,821000,1665230,1997385,,1275090,0.05418940074625538,11268.687000000,0E-9,6102.119000000,12976.872000000,15563.447000000,9730.06815084389,13047416.000000000,264500.492053416,714763.800000000
2021-10-04,Geo32,1454000,335000,701000,2686932,1691494,,1549355,0.04789681522274845,10661.779000000,3231.827400000,5212.199000000,20938.832000000,13179.972000000,8644.22589931871,13961216.000000000,278387.554519040,714763.800000000
2021-11-08,Geo32,900529,715000,1006000,2505171,2953922,,1464616,0.07320304289959477,6603.330000000,6894.560500000,7478.846700000,19522.398000000,23016.700000000,11452.453426872307,19655718.000000000,395422.275440406,714763.800000000
2023-10-09,Geo32,1690384,168000,394000,3316028,2113042,,967785,0.07462265971385815,12395.118000000,1622.474600000,2924.514400000,25841.277000000,16464.637000000,6099.711788609454,17496924.000000000,350143.981372380,714763.800000000
2024-01-15,Geo32,1287793,0,172000,2005988,0,,2413066,0.032181903144196194,9443.030000000,0E-9,1280.675300000,15632.344000000,0E-9,2060.0589840443076,7828727.000000000,156385.898994208,714763.800000000
2023-01-02,Geo32,1665033,1149000,57000,2940491,2373431,,683990,0.04176584685780075,12209.226000000,11077.659000000,424.744230000,22914.777000000,18493.564000000,643.1356629357575,11555581.000000000,230378.441496712,714763.800000000
2023-10-23,Geo32,1373482,1822000,208000,1962475,1991064,,1380548,0.036546153725609584,10071.363000000,17569.428000000,1547.177900000,15293.255000000,15514.195000000,2293.228777511687,9726561.000000000,192929.391575154,714763.800000000
2021-12-13,Geo33,2149796,673000,878000,3703438,2046174,,1579765,0.06639048627953427,15763.859000000,6489.175300000,6521.520500000,28860.303000000,15943.607000000,14013.123851340797,14701728.000000000,297750.877505568,586798.400000000
2021-12-06,Geo33,1310505,,10000,1003492,510790,,0,0.050857585760594744,9609.570000000,8734.040000000,74.480156000,7820.053000000,3980.030500000,136.2943351016094,12592984.000000000,251814.773419056,586798.400000000
2021-12-27,Geo33,1389497,237000,109000,1751336,1514200,,646,0.05275769237345827,10188.797000000,2288.905500000,808.432560000,13647.882000000,11798.513000000,1248.158078528135,11144824.000000000,222564.542561984,586798.400000000
2023-10-02,Geo33,1447862,1746000,405000,1518004,1818599,,1079121,0.0647409441225068,10616.771000000,16834.236000000,3012.623000000,11829.563000000,14170.363000000,5897.4898500191875,15294176.000000000,304624.595196736,586798.400000000
2021-03-15,Geo33,0,1547000,627000,2318909,455506,,0,0.04352220959415919,0E-9,14913.404000000,4658.156700000,18070.889000000,3549.262500000,8649.399357641958,10617994.000000000,213173.483790250,586798.400000000
2021-10-04,Geo33,1589174,670000,559000,2556770,966294,,1567293,0.02517973832082577,11652.973000000,6455.624000000,4154.288000000,19924.500000000,7529.277300000,6957.58071292079,5879540.000000000,118332.674477660,586798.400000000
2023-01-02,Geo33,1178422,0,594000,1353356,864385,,1400128,0.04734143467443128,8641.042000000,0E-9,4416.243000000,10546.487000000,6735.211400000,9585.484334931187,11892388.000000000,237973.022522804,586798.400000000
2023-07-24,Geo33,828063,0,209000,1067956,1087892,,46437,0.07567008199880661,6071.956500000,0E-9,1554.549300000,8322.410000000,8476.758000000,2502.5842683878004,16206804.000000000,323726.971646628,586798.400000000
2023-08-21,Geo33,792057,330000,831000,2272710,162174,,0,0.04981638122594612,5807.934600000,3185.617200000,6174.117700000,17710.865000000,1263.645500000,10543.575544102589,10994708.000000000,219339.070177204,586798.400000000
2022-10-03,Geo33,813538,2037000,2295000,3300899,2222194,,1146506,0.04039479309249913,5965.449000000,19635.227000000,17052.365000000,25723.380000000,17315.140000000,31260.628997457246,11614101.000000000,233439.748429983,586798.400000000
2021-08-02,Geo33,597999,0,826000,3128237,1519670,,307552,0.044602738837477444,4384.961000000,0E-9,6135.469000000,24377.852000000,11841.134000000,9871.543877171198,12485260.000000000,248172.834099160,586798.400000000
2022-10-10,Geo33,448716,732000,2402000,3353487,3090377,,1503958,0.046596646472416965,3290.310300000,7054.113000000,17845.453000000,26133.190000000,24079.943000000,34737.82583101935,14573625.000000000,293564.223249000,586798.400000000
2024-01-01,Geo33,1356791,,1063000,1298692,1243515,,1759726,0.043000676391349676,9948.973000000,10039.038000000,7896.412600000,10120.500000000,9689.359000000,14420.67123336462,10533310.000000000,209331.050290950,586798.400000000
2023-11-13,Geo33,675705,1029000,112000,2792997,1543853,,959638,0.045079876619752365,4954.757300000,9923.536000000,830.390900000,21765.380000000,12029.566000000,1737.5771454884668,10940787.000000000,218173.844026710,586798.400000000
2023-11-27,Geo33,1470885,961000,508000,1690556,2221192,,896455,0.06579693569786027,10785.592000000,9260.760000000,3778.595200000,13174.233000000,17307.332000000,8206.158543407897,16129676.000000000,323228.851807964,586798.400000000
2023-02-20,Geo33,733806,,37000,1800029,982593,,557868,0.03838765747176877,5380.796000000,5543.361000000,278.057740000,14027.339000000,7656.278000000,499.45987881136307,8589560.000000000,171568.730396000,586798.400000000
2022-05-16,Geo33,2308469,458000,1014000,2433172,1397653,,0,0.057618398518435594,16927.363000000,4420.475600000,7532.497600000,18961.322000000,10890.389000000,11838.759656650274,12424721.000000000,246708.018464062,586798.400000000
2021-06-14,Geo33,720546,1385000,976000,3149037,1805036,,1457880,0.04079451032577542,5283.564500000,13354.571000000,7251.415500000,24539.943000000,14064.681000000,13100.422274603907,10329101.000000000,207094.901181054,586798.400000000
2022-05-30,Geo33,888134,942000,106000,1450067,1984789,,282229,0.04475848445632631,6512.440400000,9079.157000000,788.265000000,11300.141000000,15465.300000000,1701.606494044613,10095435.000000000,200810.003713515,586798.400000000
2022-06-13,Geo33,2781896,2133000,1677000,3001121,1836926,,2651578,0.03952295896568349,20398.873000000,20564.072000000,12463.035000000,23387.258000000,14313.165000000,26287.506048507963,9651916.000000000,192019.483050872,586798.400000000
2021-07-26,Geo33,117138,1451000,929000,2211722,1473888,,1063913,0.04079398338911938,858.940500000,13991.664000000,6904.651400000,17235.596000000,11484.405000000,13809.478582472937,10105736.000000000,202822.950190352,586798.400000000
2023-04-10,Geo33,1041737,0,113000,1632579,1537446,,0,0.04213975597789668,7638.769000000,0E-9,841.537300000,12722.428000000,11979.643000000,1565.2653064876777,8532368.000000000,171304.062235488,586798.400000000
2021-11-22,Geo33,2593386,1034000,2005000,4241437,1643129,,1536122,0.039441807039457,19016.582000000,9967.452000000,14901.471000000,33052.844000000,12803.116000000,31024.78183346615,9422597.000000000,189162.366123412,586798.400000000
2022-04-04,Geo33,842179,609000,544000,1084248,227183,,151941,0.06796598695594794,6175.465300000,5876.128000000,4040.320000000,8449.372000000,1770.189800000,7086.115995215957,16579568.000000000,331852.455036864,586798.400000000
2022-01-17,Geo33,500752,92000,58000,1805538,1215012,,979090,0.04001388378572629,3671.875700000,886.125550000,431.922450000,14070.270000000,9467.266000000,786.3045157972134,9885864.000000000,196450.683332592,586798.400000000
2022-10-17,Geo33,118842,661000,1679000,3906879,3524314,,825821,0.03815136726729629,871.435500000,6371.793500000,12475.348000000,30445.684000000,27461.145000000,27091.61707470701,10878003.000000000,217165.732391250,586798.400000000
2023-09-25,Geo33,804478,76000,805000,2508704,2109638,,0,0.03447445536989826,5899.014600000,731.297060000,5985.186000000,19549.930000000,16438.113000000,10402.715378012464,8824836.000000000,175827.250291368,586798.400000000
2023-05-08,Geo33,258088,369000,102000,1060433,506069,,0,0.032937115424345347,1892.487900000,3559.591000000,761.498840000,8263.785000000,3943.245000000,1317.9090792800707,7158706.500000000,143017.182518694,586798.400000000
2023-12-04,Geo33,614025,920000,741000,1941694,2413859,,489375,0.041766848339682,4502.475600000,8869.923000000,5504.063500000,15131.312000000,18808.576000000,9080.4459824124,10130535.000000000,202408.636348890,586798.400000000
2022-12-26,Geo33,806591,0,37000,2438812,856020,,1638794,0.04745610651194043,5914.508300000,0E-9,276.787050000,19005.271000000,6670.032000000,471.371312905523,12373348.000000000,247332.424587196,586798.400000000
2021-02-01,Geo33,1174965,15000,1339000,2375366,1138463,,1535466,0.017400509952036194,8615.693000000,146.691350000,9946.716000000,18510.848000000,8870.803000000,20140.157511676996,4878193.500000000,97158.482363763,586798.400000000
2021-09-13,Geo33,265852,1619000,1242000,3473331,552954,,0,0.044428565454754355,1949.419100000,15612.066000000,9228.710000000,27067.113000000,4308.568400000,14775.895069015714,13312753.000000000,267793.561613198,586798.400000000
2022-05-02,Geo33,1389395,,687000,2383092,1494584,,1030193,0.055028129404045376,10188.049000000,0E-9,5105.112000000,18571.057000000,11645.666000000,9199.377808473284,11061920.000000000,223079.988441600,586798.400000000
2021-10-18,Geo33,1406410,1462000,1755000,3719237,959060,,1639152,0.04659394443772728,10312.815000000,14097.052000000,13044.587000000,28983.420000000,7472.910600000,23348.976479076926,11863683.000000000,237508.442286570,586798.400000000
2023-01-23,Geo33,1230370,200000,196000,3136036,1229972,,636865,0.027978465602594343,9021.963000000,1932.507700000,1452.812600000,24438.629000000,9583.833000000,2948.369276700667,6251213.500000000,124593.761428682,586798.400000000
2021-11-15,Geo33,1243784,1840000,1855000,3198611,941362,,2733736,0.044793518867742736,9120.324000000,17741.979000000,13781.838000000,24926.266000000,7335.009300000,27214.080106940262,11675178.000000000,234463.785014610,586798.400000000
2023-04-17,Geo33,688753,0,397000,3345228,2048318,,0,0.026906355743392844,5050.435000000,0E-9,2947.810500000,26068.828000000,15960.313000000,5533.861291291027,6505286.000000000,129548.177958084,586798.400000000
2022-07-18,Geo33,1108327,456000,1381000,2633845,1234434,,271867,0.038661518138586266,8127.055000000,4393.114000000,10258.413000000,20525.135000000,9618.601000000,21092.11431818511,9128206.000000000,181178.065816342,586798.400000000
2022-09-05,Geo33,974217,920000,368000,2589328,1419637,,113237,0.04168325043324943,7143.663600000,8870.319000000,2738.095000000,20178.220000000,11061.686000000,5656.044599634553,9826117.000000000,196190.816638537,586798.400000000
2021-08-09,Geo33,2153541,309000,419000,4647174,1246419,,0,0.03517360356302327,15791.320000000,2982.987500000,3115.013700000,36214.684000000,9711.987000000,4641.754069271949,9017208.000000000,180943.362488808,586798.400000000
2022-08-01,Geo33,1954342,198000,67000,1857707,693003,,504298,0.06148546467344848,14330.649000000,1912.020100000,496.259430000,14476.814000000,5399.818000000,851.034593363682,13159335.000000000,263000.061151695,586798.400000000
2022-03-14,Geo33,2544769,1505000,1037000,2698680,2435072,,1412453,0.05300007786298744,18660.086000000,14511.451000000,7708.179700000,21030.383000000,18973.865000000,13928.38458527258,13348810.000000000,267869.489016390,586798.400000000
2023-08-28,Geo33,811034,636000,1508000,3775876,2043726,,1021851,0.041109567180147286,5947.088000000,6134.002000000,11204.392000000,29424.800000000,15924.532000000,17130.774869927955,10064206.000000000,200984.981605062,586798.400000000
2023-01-30,Geo33,615995,739000,669000,2943768,1978117,,807116,0.03534072008444065,4516.921000000,7120.772500000,4974.298000000,22940.314000000,15413.313000000,8122.504005062802,8231354.500000000,164046.310320544,586798.400000000
2023-06-26,Geo33,1493194,0,1599000,1576138,3085880,,495830,0.03876050847270577,10949.178000000,0E-9,11878.608000000,12282.592000000,24044.904000000,18749.65794223527,9440020.000000000,189604.963464580,586798.400000000
2023-09-11,Geo33,1017708,1937000,1868000,3676966,3232100,,2006320,0.05298035254465042,7462.571000000,18670.775000000,13881.227000000,28654.010000000,25184.238000000,21545.869030393555,13384983.000000000,269125.187459466,586798.400000000
2023-12-11,Geo33,1614203,0,604000,2938988,1505953,,325908,0.04976256287358389,11836.504000000,0E-9,4488.397000000,22903.064000000,11734.253000000,9288.854082153064,12565156.000000000,252126.137718000,586798.400000000
2022-01-24,Geo33,1172992,584000,26000,1890140,0,,510578,0.04202424563765121,8601.226000000,5635.232400000,192.795330000,14729.560000000,0E-9,362.08965491030057,8505834.000000000,169239.362763738,586798.400000000
2021-11-08,Geo33,993440,1477000,409000,3317762,2069918,,770570,0.03174795904968886,7284.620600000,14238.479000000,3035.926500000,25854.790000000,16128.618000000,5832.902182806568,8927090.000000000,179514.183278250,586798.400000000
2021-04-12,Geo33,0,134000,224000,2117674,1668628,,0,0.05937877449653318,0E-9,1289.129200000,1665.203200000,16502.695000000,13001.802000000,2795.7698316180195,13014340.000000000,260392.216154000,586798.400000000
2023-10-09,Geo33,1803864,328000,67000,3111559,1160937,,1358033,0.042632715921601186,13227.235000000,3167.000000000,498.904850000,24247.883000000,9045.918000000,1068.3353261326245,9210616.000000000,184772.620192512,586798.400000000
2022-12-05,Geo33,1086936,2009000,504000,4379897,2425300,,1054797,0.04708741685653316,7970.201000000,19370.621000000,3743.551000000,34131.840000000,18897.725000000,8197.85922120654,12361793.000000000,246668.898725848,586798.400000000
2021-06-21,Geo33,1575582,1427000,371000,2299668,2267447,,813275,0.06113502795638753,11553.307000000,13760.216000000,2758.611800000,17920.945000000,17667.746000000,4700.786698712804,14706920.000000000,296525.730202840,586798.400000000
2022-09-19,Geo33,453337,941000,784000,3115854,1175394,,1030816,0.03812493519674098,3324.194800000,9076.554000000,5827.019000000,24281.354000000,9158.566000000,10174.711454808432,9412308.000000000,187923.317835600,586798.400000000
2023-11-20,Geo33,310026,0,433000,2175950,911214,,392710,0.04057339256286549,2273.334700000,0E-9,3218.229200000,16956.832000000,7100.099000000,4731.0769435960765,11085380.000000000,221145.404953300,586798.400000000
2023-12-25,Geo33,988331,,611000,2649496,0,,1089110,0.05433216016281029,7247.157700000,10009.806000000,4540.094000000,20647.100000000,0E-9,8552.92721196832,11234992.000000000,224469.477724032,586798.400000000
2023-10-23,Geo33,584247,345000,57000,1578478,1816794,,0,0.046190424822916645,4284.121600000,3330.486300000,421.303680000,12300.827000000,14156.298000000,864.8817538491589,11093193.000000000,219305.902812516,586798.400000000
2022-12-19,Geo33,515516,39000,1567000,3251872,1538104,,661515,0.024122879035841528,3780.136000000,377.685600000,11642.178000000,25341.320000000,11984.770000000,21634.271031216325,6207196.500000000,125399.732752701,586798.400000000
2022-11-07,Geo33,684347,1104000,2972000,4862399,4056736,,1374504,0.048220212468898606,5018.127000000,10641.374000000,22084.951000000,37891.900000000,31609.729000000,47443.22935929861,14641173.000000000,292817.076448572,586798.400000000
2021-04-19,Geo33,0,0,292000,2445412,1604336,,0,0.05742808435294478,0E-9,0E-9,2168.826700000,19056.705000000,12500.844000000,3535.442313400749,14640065.000000000,289390.296615585,586798.400000000
2022-02-21,Geo33,391100,908000,731000,2213448,1268793,,179067,0.06366805267155026,2867.828000000,8754.672000000,5429.107400000,17249.049000000,9886.323000000,8415.842134536697,14746652.000000000,294558.091626248,586798.400000000
2022-08-29,Geo33,2355133,1255000,359000,2492883,1261496,,1834127,0.0558535450283814,17269.537000000,12099.842000000,2667.293200000,19426.640000000,9829.465000000,4065.2977535697796,13466446.000000000,268681.789937470,586798.400000000
2023-12-11,Geo34,2302288,0,612000,2677472,1468192,,1696245,0.098716001789297,16882.040000000,0E-9,4547.636700000,20865.111000000,11440.022000000,9143.410382897273,22080706.000000000,442393.568921800,607054.440000000
2023-12-04,Geo34,879805,1582000,734000,2401379,2306808,,469684,0.04087280813454322,6451.366700000,15256.728000000,5454.729500000,18713.564000000,17974.443000000,11981.273284955896,10887499.000000000,218081.907182013,607054.440000000
2023-07-24,Geo34,548080,597000,27000,1878364,1567048,,1012773,0.034185909701562565,4018.919000000,5756.017600000,198.487430000,14637.791000000,12210.299000000,334.43539329366905,8041784.500000000,159584.533083921,607054.440000000
2022-08-22,Geo34,1924270,1768000,985000,3063589,885964,,0,0.048246327433004464,14110.139000000,17047.578000000,7316.458500000,23874.060000000,6903.353000000,13719.356342549374,11182040.000000000,225077.088309840,607054.440000000
2023-01-30,Geo34,1195940,414000,453000,3201664,1326402,,1706548,0.018490522466831073,8769.497000000,3994.834700000,3366.260700000,24950.057000000,10335.207000000,5240.791763191974,4810120.000000000,96103.638616160,607054.440000000
2023-09-25,Geo34,1072115,0,1562000,2653920,3169918,,0,0.04759768342055591,7861.522500000,0E-9,11610.307000000,20681.576000000,24699.720000000,24155.68031439583,11572969.000000000,232604.641012240,607054.440000000
2021-03-29,Geo34,883638,,354000,1643861,783128,,0,0.020272308475746178,6479.473000000,10660.088000000,2629.165000000,12810.347000000,6102.064000000,4346.470351907518,4905924.000000000,98052.299085240,607054.440000000
2023-01-09,Geo34,939543,,268000,2630671,75612,,2525878,0.04210208322490502,6889.408700000,13560.276000000,1995.010000000,20500.400000000,589.162000000,3495.027703783212,10032547.000000000,201516.016430169,607054.440000000
2024-01-01,Geo34,1834925,1813000,985000,3695992,3276184,,1690266,0.02007598619998725,13454.997000000,17482.252000000,7322.641000000,28802.275000000,25527.736000000,13560.20075023758,5950354.000000000,118923.388270990,607054.440000000
2022-09-26,Geo34,2484585,826000,3318000,4485740,2847067,,1873845,0.02279133466372715,18218.773000000,7964.486300000,24655.176000000,34956.656000000,22184.094000000,36513.27508569107,6813304.000000000,135793.597807512,607054.440000000
2023-06-26,Geo34,844147,1272000,1989000,2736960,1169194,,1428662,0.03670504772437575,6189.896000000,12260.716000000,14779.113000000,21328.691000000,9110.256000000,30955.87369916845,10012891.000000000,200495.886496416,607054.440000000
2023-07-31,Geo34,2838270,0,1572000,2812386,1097585,,696194,0.05090546999753541,20812.248000000,0E-9,11680.299000000,21916.477000000,8552.285000000,21895.535978691893,13063816.000000000,263321.591032960,607054.440000000
2022-12-05,Geo34,1567425,0,526000,2394377,806930,,126998,0.058008825356539305,11493.494000000,0E-9,3905.210700000,18658.998000000,6287.527000000,7840.571028012169,15184057.000000000,302916.850490905,607054.440000000
2021-12-27,Geo34,1325617,893000,603000,2241614,1469164,,940670,0.0605379903618936,9720.382000000,8606.274000000,4482.824000000,17468.540000000,11447.596000000,6853.739539783608,15609189.000000000,310237.595097102,607054.440000000
2021-02-08,Geo34,595147,576000,718000,2533306,0,,894054,0.0637574622890137,4364.048000000,5549.541000000,5333.219000000,19741.650000000,0E-9,8009.001618879453,12161596.000000000,242686.411611420,607054.440000000
2023-10-09,Geo34,1967364,801000,1215000,3501593,572392,,1078965,0.04097729387644088,14426.136000000,7718.683000000,9031.709000000,27287.355000000,4460.028000000,13440.514222215965,9044879.000000000,180771.268264765,607054.440000000
